Date,Close,High,Low,Open,Volume,Kalman_Close,Kalman_Return,Kalman_Volatility,FinBERT_Sentiment,engagement_score,tesla_relevance,comment_count,repost_count,unique_author_count,discussion_intensity,information_diffusion_score,sentiment_magnitude
2021-07-06,219.8600006103516,228.0,217.13333129882807,227.23666381835932,69853500.0,219.8600006103516,,,-0.00476904958486557,0.04220375910168494,1.1851851851851851,3.1481481481481484,2.4444444444444446,3.4444444444444446,3.111111111111111,32.666666666666664,0.00476904958486557
2021-07-07,214.88333129882807,221.8999938964844,212.77333068847656,221.42333984375,56376000.0,216.87399902343748,-0.0135813771428395,,0.013293851166963577,0.045407341802587396,1.1875,4.4375,1.25,2.25,4.4375,8.5,0.013293851166963577
2021-07-08,217.60333251953125,218.1433258056641,206.82000732421875,209.4566650390625,68319900.0,217.32281963641827,0.0020694994098038,,-0.018373019993305206,0.04542352551252358,1.1666666666666667,3.5555555555555554,2.7777777777777777,3.7777777777777777,3.5555555555555554,44.22222222222222,0.018373019993305206
2021-07-09,218.9833374023437,219.6366729736328,214.89666748046875,217.72666931152344,54421500.0,218.3484335506664,0.0047193107284542,,-0.10698517691344023,0.07536333368011826,1.3214285714285714,1.3214285714285714,10.107142857142858,11.107142857142858,1.3214285714285714,398.85714285714283,0.10698517691344023
2021-07-12,228.5666656494141,229.0800018310547,220.72000122070312,220.7333374023437,77781000.0,224.6630713644992,0.0289200051090248,,-0.17345942091196775,0.08849509152135725,1.4324324324324325,2.2162162162162162,4.891891891891892,5.891891891891892,2.2162162162162162,247.40540540540542,0.17345942091196775
2021-07-13,222.8466644287109,231.0933380126953,222.1000061035156,228.77333068847656,62898300.0,223.5404851037545,-0.0049967547132986,,0.08789493422955275,0.05773703038963412,1.2083333333333333,0.9166666666666666,3.8125,4.8125,0.9166666666666666,111.5,0.08789493422955275
2021-07-14,217.7933349609375,226.20333862304688,217.6133270263672,223.5833282470703,64923600.0,219.9885578843414,-0.0158894135787731,,0.00997759960591793,0.04906172763396334,1.5675675675675675,0.7027027027027027,1.2162162162162162,2.2162162162162162,0.6891891891891891,25.675675675675677,0.00997759960591793
2021-07-15,216.86666870117188,222.04666137695312,212.6266632080078,219.4633331298828,60628800.0,218.0591248074545,-0.0087706065053676,0.0152405220853184,-0.042392611503601074,0.05195274130274334,1.346938775510204,0.7959183673469388,4.122448979591836,5.122448979591836,0.7784256559766765,100.65306122448979,0.042392611503601074
2021-07-16,214.7400054931641,218.8999938964844,214.0666656494141,218.22666931152344,49113000.0,216.00779634342044,-0.0094072122221228,0.0147432100226934,-0.05371878296136856,0.05266674662760017,1.2903225806451613,1.0,2.4838709677419355,3.4838709677419355,1.0,89.48387096774194,0.05371878296136856
2021-07-19,215.4066619873047,215.7333374023437,207.0966644287109,209.9633331298828,63891300.0,215.63627488177937,-0.0017199446868593,0.014703541417934,0.05029189959168434,0.05966262104416129,1.4333333333333333,2.5,3.3666666666666667,4.366666666666666,2.5,112.8,0.05029189959168434
2021-07-20,220.1666717529297,220.79666137695312,213.5,217.3300018310547,46461300.0,218.4362141282093,0.012984546537752,0.0155488700414388,-0.07529130391776562,0.07364426927742482,1.935483870967742,1.1290322580645162,3.129032258064516,4.129032258064516,1.1290322580645162,29.741935483870968,0.07529130391776562
2021-07-21,218.42999267578125,221.6199951171875,216.76333618164065,219.8699951171875,41859900.0,218.43236905914983,-1.760270875783565e-05,0.0091640282480136,0.0033826790750026703,0.06929350892175258,1.5294117647058822,2.764705882352941,10.235294117647058,11.235294117647058,2.764705882352941,573.1764705882352,0.0033826790750026703
2021-07-22,216.4199981689453,220.72332763671875,214.86666870117188,218.81333923339844,45317100.0,217.1886554510559,-0.0056938154974511,0.0091807680207743,0.06601473549380898,0.06487370625227747,1.5172413793103448,1.9655172413793103,2.310344827586207,3.310344827586207,1.8275862068965518,131.0344827586207,0.06601473549380898
2021-07-23,214.4600067138672,216.26666259765625,212.433334350586,215.45333862304688,43814700.0,215.5022577881184,-0.0077646673553698,0.0078559600440088,-0.053379908204078674,0.0629094676328307,1.6666666666666667,2.380952380952381,0.14285714285714285,1.1428571428571428,2.3492063492063493,0.38095238095238093,0.053379908204078674
2021-07-26,219.2066650390625,222.7333374023437,215.70333862304688,216.9900054931641,76009800.0,217.7917073773725,0.0106237847006924,0.0088080039233359,-0.013703444972634315,0.06591729679438003,1.4526315789473685,1.7263157894736842,13.010526315789473,14.010526315789473,1.6953216374269005,534.9684210526316,0.013703444972634315
2021-07-27,214.9266662597656,222.1666717529297,209.0800018310547,221.13333129882807,98439900.0,216.0210145875256,-0.0081302121700108,0.0085947692037848,-0.38087535835802555,0.1334949322719715,1.4444444444444444,2.25,8.152777777777779,9.152777777777779,2.1743827160493825,339.55555555555554,0.38087535835802555
2021-07-28,215.66000366210932,218.3233337402344,213.13333129882807,215.6666717529297,48019800.0,215.7978975653083,-0.0010328486913335,0.0085752171203039,0.019373349845409393,0.0511220679553197,1.4666666666666666,1.3,3.7,4.7,1.2666666666666666,82.73333333333333,0.019373349845409393
2021-07-29,225.7833404541016,227.89666748046875,216.26666259765625,216.5966644287109,91183800.0,221.96924066330348,0.028597790653301,0.0132368994390504,-0.4112938717007637,0.13394838586687827,1.4230769230769231,3.0384615384615383,2.5384615384615383,3.5384615384615383,2.9038461538461537,145.84615384615384,0.4112938717007637
2021-07-30,229.0666656494141,232.509994506836,223.0,223.9199981689453,88969200.0,226.35569053732257,0.0197615212851618,0.0146754472614387,0.032273074612021446,0.05711041666679152,1.2580645161290323,1.935483870967742,8.580645161290322,9.580645161290322,1.935483870967742,318.5806451612903,0.032273074612021446
