Date,Close,High,Low,Open,Volume,Kalman_Close,Kalman_Return,Kalman_Volatility
2021-07-06,219.8600006103516,228.0,217.13333129882807,227.23666381835935,69853500.0,219.8600006103516,,
2021-07-07,214.88333129882807,221.8999938964844,212.77333068847656,221.42333984375,56376000.0,216.87399902343748,-0.013581377142839579,
2021-07-08,217.60333251953125,218.1433258056641,206.82000732421875,209.4566650390625,68319900.0,217.32281963641827,0.002069499409803832,
2021-07-09,218.98333740234372,219.6366729736328,214.89666748046875,217.72666931152344,54421500.0,218.34843355066636,0.004719310728454218,
2021-07-12,228.5666656494141,229.0800018310547,220.72000122070312,220.73333740234372,77781000.0,224.66307136449922,0.028920005109024816,
2021-07-13,222.8466644287109,231.0933380126953,222.1000061035156,228.77333068847656,62898300.0,223.54048510375452,-0.0049967547132986345,
2021-07-14,217.7933349609375,226.20333862304688,217.6133270263672,223.5833282470703,64923600.0,219.9885578843414,-0.01588941357877316,
2021-07-15,216.86666870117188,222.04666137695312,212.6266632080078,219.4633331298828,60628800.0,218.05912480745454,-0.00877060650536765,0.015240522085318448
2021-07-16,214.7400054931641,218.8999938964844,214.0666656494141,218.22666931152344,49113000.0,216.00779634342044,-0.009407212222122818,0.014743210022693427
2021-07-19,215.4066619873047,215.73333740234372,207.0966644287109,209.9633331298828,63891300.0,215.63627488177937,-0.0017199446868593204,0.014703541417934068
2021-07-20,220.1666717529297,220.79666137695312,213.5,217.3300018310547,46461300.0,218.43621412820931,0.01298454653775205,0.015548870041438895
2021-07-21,218.42999267578125,221.6199951171875,216.76333618164065,219.8699951171875,41859900.0,218.43236905914986,-1.760270875783565e-05,0.009164028248013654
2021-07-22,216.4199981689453,220.72332763671875,214.86666870117188,218.81333923339844,45317100.0,217.1886554510559,-0.005693815497451182,0.009180768020774355
2021-07-23,214.4600067138672,216.26666259765625,212.43333435058597,215.45333862304688,43814700.0,215.5022577881184,-0.0077646673553698475,0.007855960044008896
2021-07-26,219.2066650390625,222.73333740234372,215.70333862304688,216.9900054931641,76009800.0,217.79170737737252,0.010623784700692473,0.00880800392333591
2021-07-27,214.9266662597656,222.1666717529297,209.0800018310547,221.13333129882807,98439900.0,216.02101458752557,-0.008130212170010864,0.008594769203784868
2021-07-28,215.66000366210935,218.3233337402344,213.13333129882807,215.6666717529297,48019800.0,215.7978975653083,-0.0010328486913335766,0.008575217120303963
2021-07-29,225.7833404541016,227.89666748046875,216.26666259765625,216.5966644287109,91183800.0,221.96924066330348,0.028597790653301036,0.013236899439050423
2021-07-30,229.0666656494141,232.50999450683597,223.0,223.9199981689453,88969200.0,226.35569053732257,0.019761521285161843,0.014675447261438795
2021-08-02,236.55667114257807,242.31333923339844,232.8000030517578,233.3333282470703,100847400.0,232.66024326994895,0.027852415451366186,0.015949260666132923
2021-08-03,236.5800018310547,240.88333129882807,233.6699981689453,239.6666717529297,64860900.0,235.08278728840568,0.01041236777031096,0.013929216276734345
2021-08-04,236.97332763671875,241.63333129882807,236.30999755859372,237.0,51007800.0,236.25120548076623,0.004970241359811167,0.014222599715186569
2021-08-05,238.2100067138672,240.3166656494141,237.1366729736328,238.6666717529297,38758800.0,237.46181122002784,0.005124230950686703,0.01180810715284916
2021-08-06,233.0333404541016,238.77667236328125,232.5433349609375,237.3000030517578,46869000.0,234.72486576850014,-0.0115258341434602,0.014373023732419436
2021-08-09,237.9199981689453,239.6766662597656,235.0433349609375,236.72332763671875,44145900.0,236.6995661905313,0.008412830125883453,0.01242013143251717
2021-08-10,236.663330078125,238.8633270263672,233.9600067138672,237.9966735839844,40296900.0,236.67717104144404,-9.461423798817759e-05,0.011885049327501044
2021-08-11,235.94000244140625,238.3933258056641,234.73666381835935,237.57000732421875,29401800.0,236.22157579118152,-0.0019249649142660807,0.007449235136564881
2021-08-12,240.75,240.93333435058597,233.13333129882807,235.44667053222656,52377300.0,239.0202958677092,0.011847859651066495,0.0077276669371542615
2021-08-13,239.05667114257807,243.3000030517578,238.1133270263672,241.23666381835935,50194500.0,239.04277702392827,9.405542796048216e-05,0.007677120750736487
2021-08-16,228.72332763671875,236.5,225.46665954589844,235.02333068847656,68032200.0,232.66500655744852,-0.026680456719431977,0.012930284867461603
2021-08-17,221.90333557128903,224.8600006103516,216.27999877929688,224.22000122070312,71163900.0,226.01392811225836,-0.02858650101104876,0.016067848612776527
2021-08-18,229.663330078125,231.92333984375,223.11666870117188,223.25,61048200.0,228.26938256577463,0.009979271951753521,0.016299504996803153
2021-08-19,224.4900054931641,228.8500061035156,222.52999877929688,226.07000732421875,42940500.0,225.93359907859923,-0.010232574605148148,0.016235862274562418
2021-08-20,226.7533264160156,230.7100067138672,224.5666656494141,227.61666870117188,44525700.0,226.44021843463,0.002242337386280102,0.01650575599386742
2021-08-23,235.43333435058597,237.3766632080078,226.9166717529297,228.47999572753903,60794700.0,231.99826973545842,0.024545336244819804,0.01925127796910821
2021-08-24,236.163330078125,238.4066619873047,234.2133331298828,236.8933258056641,39249300.0,234.57241859242066,0.011095551962079231,0.020081090971426963
2021-08-25,237.0666656494141,238.9900054931641,234.6666717529297,235.6766662597656,37936800.0,236.11394804998199,0.006571656918624269,0.017129147151234966
2021-08-26,233.72000122070312,238.46665954589844,232.5399932861328,236.10333251953125,39642900.0,234.63440754222762,-0.00626621391905724,0.011631651323654802
2021-08-27,237.30667114257807,238.3333282470703,234.0333404541016,235.0,41501400.0,236.28595727414336,0.007038821582970645,0.011491782760824753
2021-08-30,243.6366729736328,243.6666717529297,237.57666015625,238.2400054931641,55812600.0,240.8289494180653,0.019226670075238816,0.010318251442611434
2021-08-31,245.2400054931641,246.79666137695312,242.14666748046875,244.3333282470703,62566200.0,243.55513199875807,0.011319995321493748,0.009857067982331925
2021-09-01,244.69667053222656,247.3300018310547,243.7566680908203,244.69332885742188,39612900.0,244.2606416119093,0.0028967142156333114,0.007924163381076245
2021-09-02,244.1300048828125,246.9900054931641,243.51333618164065,244.8333282470703,38331900.0,244.17990367314837,-0.00033054010760036334,0.008210553601266513
2021-09-03,244.52333068847656,244.6666717529297,241.3999938964844,244.0833282470703,45738300.0,244.39215324127613,0.000869234383890527,0.00839958280719372
2021-09-07,250.97332763671875,253.3999938964844,246.4199981689453,246.6666717529297,60119400.0,248.4595427035502,0.016642880748542366,0.0077306482464471775
2021-09-08,251.2899932861328,254.8166656494141,246.92333984375,253.8600006103516,56379000.0,250.2088573670632,0.007040641886716381,0.007730601228457359
2021-09-09,251.6199951171875,254.0333404541016,250.5433349609375,251.1366729736328,42233100.0,251.08098845944806,0.0034856123862372357,0.006123838726566361
2021-09-10,245.42333984375,254.20333862304688,244.83999633789065,253.1999969482422,45552600.0,247.58436931854285,-0.01392626005799702,0.009148444604761972
2021-09-13,247.6666717529297,248.25999450683597,236.2833404541016,246.73666381835935,68857500.0,247.63523502035076,0.00020544795274402006,0.009179735579763225
