Sentiment_Model,Model,MAE,RMSE,R2,Test_Samples
VADER,Linear Regression,2.560734016614925e-10,2.888343726723872e-10,-0.08003592862732867,27
VADER,Random Forest,5.870909948755048e-11,8.062149932513387e-11,0.915852310869857,27
VADER,XGBoost,7.436116992942007e-11,1.0596485806449309e-10,0.8546335534526406,27
TextBlob,Linear Regression,2.5400886651458393e-10,3.0026504135454875e-10,-0.16721267988495692,27
TextBlob,Random Forest,6.204843706187032e-11,8.149941424919427e-11,0.9140097072200317,27
TextBlob,XGBoost,6.123986613201897e-11,9.084642769359181e-11,0.8931545182109134,27
FinBERT,Linear Regression,2.363119453515463e-10,2.78847421893799e-10,-0.006638925265988194,27
FinBERT,Random Forest,6.010827167584861e-11,7.96447870589096e-11,0.9178788232840962,27
FinBERT,XGBoost,7.755825679812984e-11,1.057455624128857e-10,0.8552346063676122,27
