Model,MAE,RMSE,R2
Linear Regression,2.486673484757862e-10,2.892601392697153e-10,-0.07039513909149009
Random Forest,6.313331162372087e-11,9.349420778466898e-11,0.888175656220087
XGBoost,6.241943086158198e-11,9.549626045823667e-11,0.8833352440212159
