Sentiment_Model,Model,RMSE,MAE,R2
FinBERT,Random Forest,7.96447870589096e-11,6.010827167584861e-11,0.9178788232840962
TextBlob,Random Forest,8.149941424919427e-11,6.204843706187032e-11,0.9140097072200317
VADER,Random Forest,8.062149932513387e-11,5.870909948755048e-11,0.915852310869857
