Date,VADER_With_Duplicates,TextBlob_With_Duplicates,VADER_Without_Duplicates,TextBlob_Without_Duplicates,FinBERT_With_Duplicates,FinBERT_Without_Duplicates
2021-07-05,0.32383684210526315,0.19768643864679408,0.3566066666666667,0.17540282228593915,-0.003663405923074802,0.001969924631218101
2021-07-06,0.3076851851851852,0.1370899470899471,0.29438260869565214,0.12304347826086957,0.05810411384812106,0.061739295478100344
2021-07-07,0.2568875,0.07148540839947091,0.14756666666666665,0.010194830246913589,0.052148012910038226,0.06248872626859407
2021-07-08,0.1781111111111111,0.10266093474426809,0.09181333333333332,0.07176455026455027,-0.17515904684033662,-0.20514054642990232
2021-07-09,0.47961785714285715,0.13160119477083762,0.38216190476190476,0.09927778350397398,0.18121209574331126,0.21457742167902843
2021-07-10,0.06949565217391304,0.011352657004830916,0.12295384615384616,0.020085470085470084,0.009438990898754286,0.012405414400356156
2021-07-11,0.2851230769230769,0.1868131868131868,0.22904,0.17285714285714285,0.006888529858910108,0.00920903887599705
2021-07-12,0.1817,0.08017976767976767,0.20039677419354837,0.07473069045649691,0.10739562932301211,0.09107173638684407
2021-07-13,0.22144583333333334,0.11576991642616642,0.24832972972972972,0.13107603057603057,0.11860094110791881,0.13906109384261073
2021-07-14,0.33245135135135134,0.110246723996724,0.29999000000000003,0.1318757215007215,0.23188604072139068,0.23046961060414708
2021-07-15,0.17683061224489796,0.24387926221818348,0.2902838709677419,0.23718117149107934,0.04703617037026856,0.0967955118685495
2021-07-16,0.3641225806451613,0.12583333333333332,0.3633185185185185,0.1130379188712522,0.08016892159057239,0.10970154980680455
2021-07-17,0.5329076923076923,0.22807747807747805,0.30856666666666666,0.1798821548821549,0.027542055942691268,-0.0018672396739323842
2021-07-18,0.21815714285714286,0.2123015873015873,0.25451666666666667,0.2476851851851852,0.021887211661253656,0.022086487772564098
2021-07-19,0.21389,0.12294444444444445,0.2916681818181818,0.16765151515151516,0.03843954938153424,0.037129521137103424
2021-07-20,0.32410645161290325,0.1576606357352325,0.24501,0.1318739853896104,0.2889712152461852,0.12005905891280796
2021-07-21,0.11266470588235294,0.08201314616755793,0.15960833333333332,0.1161852904040404,0.017026611549012794,0.016807056963443753
2021-07-22,0.19295862068965516,0.08483588968502762,0.188675,0.10472489027176528,0.07473206407679564,0.11730671767145391
2021-07-23,0.3001095238095238,0.12676574417645847,0.3065888888888889,0.13598860630110632,0.19428239747261009,0.14255406767026416
2021-07-24,0.20506666666666667,0.04660493827160494,0.30760000000000004,0.0699074074074074,0.10419248406671816,-0.10673193959519266
2021-07-25,0.2191896103896104,0.09153138528138528,0.2715571428571429,0.1322137188208617,0.07882131245471054,0.08380335680253446
