Date,FinBERT_Sentiment
2021-07-05,0.0069620737764798
2021-07-06,-0.0495364574239925
2021-07-07,-0.0478196611720616
2021-07-08,-0.0580745860622517
2021-07-09,-0.0064715415166925
2021-07-10,-0.0742357817168036
2021-07-11,-0.0237409548063933
2021-07-12,-0.0074932739576324
2021-07-13,-0.0432878707772528
2021-07-14,-0.0317532241829788
2021-07-15,-0.0484033516097317
2021-07-16,-0.0248028852692529
2021-07-17,0.0087738706610134
2021-07-18,-0.0453699312770282
2021-07-19,-0.01487582933835
2021-07-20,0.0144458939627247
2021-07-21,-0.0455984439336319
2021-07-22,-0.0298776204727245
2021-07-23,-0.0216195381339833
2021-07-24,-0.0566745259566231
2021-07-25,-0.0173077216992775
2021-07-26,-0.0256156498023312
2021-07-27,-0.0578057709848507
2021-07-28,-0.0466791647866787
2021-07-29,-0.0084549461407306
2021-07-30,0.0166284519125957
2021-07-31,0.0092204969830167
2021-08-01,0.0083160056299149
2021-08-02,0.0160295029424807
2021-08-03,0.0012442086868142
2021-08-04,-0.0220932769937749
2021-08-05,-0.0113181704716399
2021-08-06,-0.0316982576119772
2021-08-07,-0.0180765574084633
2021-08-08,0.0055818363233948
2021-08-09,0.047112892051479
2021-08-10,-0.0379399990417996
2021-08-11,-0.0259862250874307
2021-08-12,0.0250048919745797
2021-08-13,-0.0154309139599919
2021-08-14,-0.017050237527057
2021-08-15,-0.0262677364545054
2021-08-16,-0.0961774787790472
2021-08-17,-0.0987871277547551
2021-08-18,-0.03952387809732
2021-08-19,-0.058801687822025
2021-08-20,-0.036325477721432
2021-08-21,-0.0397194032997099
2021-08-22,-0.0403416485994294
2021-08-23,0.0154125626422363
2021-08-24,-0.0365594676669305
2021-08-25,-0.041467122667319
2021-08-26,-0.0156434314811359
2021-08-27,-0.0178276944169951
2021-08-28,-0.0285426749427231
2021-08-29,-0.047593571781431
2021-08-30,-0.0052356176351109
2021-08-31,-0.0196117459268752
2021-09-01,-0.0341623396095026
2021-09-02,-0.004368114446927
2021-09-03,-0.0161632396420647
2021-09-04,-0.0392325513468926
2021-09-05,0.0012785618277162
2021-09-06,0.0255804140567003
2021-09-07,0.0052599436615518
2021-09-08,0.0109816302079706
2021-09-09,-0.019996780826993
2021-09-10,-0.0210910305587549
2021-09-11,-0.0755353886145918
2021-09-12,-0.0007121361150646
2021-09-13,-0.0454470190244161
2021-09-14,-0.0285662773440216
2021-09-15,-0.0063256265476662
2021-09-16,0.0090767732109414
2021-09-17,-0.035981929702405
2021-09-18,-0.0216913015146757
2021-09-19,-0.0544743523822121
2021-09-20,-0.0784245616119158
2021-09-21,-0.0433765456309182
2021-09-22,-0.0198492577012375
2021-09-23,-0.0220453337682649
2021-09-24,-0.0066457677441053
2021-09-25,-0.018683657499455
2021-09-26,-0.0289978466876264
2021-09-27,0.0180956175170731
2021-09-28,0.0065189011407313
2021-09-29,-0.0451478647192318
2021-09-30,-0.0368387842345542
2021-10-01,-0.0414380171900273
2021-10-02,-0.0253289299270242
2021-10-03,-0.0394760438202055
2021-10-04,-0.0135917696413697
2021-10-05,-0.0399009734758042
2021-10-06,-0.0174310825631378
2021-10-07,-0.0273440489022862
2021-10-08,-0.0274244037277787
2021-10-09,-0.0097536181886963
2021-10-10,-0.0302154317449404
2021-10-11,-0.0145687720470242
2021-10-12,0.0048414870289887
2021-10-13,-0.0101385837243425
2021-10-14,-0.0055475509215662
2021-10-15,-0.0244135375481609
2021-10-16,-0.034524520636815
2021-10-17,0.0104424988110995
2021-10-18,0.0218366231288785
2021-10-19,0.0281132257553586
2021-10-20,-0.013397044068681
2021-10-21,-0.0224753171259132
2021-10-22,0.0159570251435733
2021-10-23,-0.0279323235770257
2021-10-24,-0.0102299158574967
2021-10-25,0.0243389190169982
2021-10-26,-0.0085620059342793
2021-10-27,-0.0206896019518602
2021-10-28,-0.0210304304287431
2021-10-29,-0.0026991349571432
2021-10-30,-0.0211426537755168
2021-10-31,-0.0150710943150826
2021-11-01,-0.0071295398534775
2021-11-02,-0.0337002856541689
2021-11-03,-0.0228877124618337
2021-11-04,-0.0027708448903063
2021-11-05,-0.0338764212387292
2021-11-06,-0.0398161290584613
2021-11-07,-0.0944115065518886
2021-11-08,-0.0548673961413504
2021-11-09,-0.0739109975032245
2021-11-10,-0.0520017039002208
2021-11-11,-0.0373353084384613
2021-11-12,-0.0366201281698155
2021-11-13,-0.0164651090174494
2021-11-14,-0.0656783794362771
2021-11-15,-0.0651402157746146
2021-11-16,-0.061086523676962
2021-11-17,-0.0229879344657213
