Date,FinBERT_Sentiment,Volume
2021-08-16,-0.0961774787790472,68032200.0
2021-08-17,-0.0987871277547551,71163900.0
2021-08-18,-0.03952387809732,61048200.0
2021-08-19,-0.058801687822025,42940500.0
2021-08-20,-0.036325477721432,44525700.0
2021-08-23,0.0154125626422363,60794700.0
2021-08-24,-0.0365594676669305,39249300.0
2021-08-25,-0.041467122667319,37936800.0
2021-08-26,-0.0156434314811359,39642900.0
2021-08-27,-0.0178276944169951,41501400.0
2021-08-30,-0.0052356176351109,55812600.0
2021-08-31,-0.0196117459268752,62566200.0
2021-09-01,-0.0341623396095026,39612900.0
2021-09-02,-0.004368114446927,38331900.0
2021-09-03,-0.0161632396420647,45738300.0
2021-09-07,0.0052599436615518,60119400.0
2021-09-08,0.0109816302079706,56379000.0
2021-09-09,-0.019996780826993,42233100.0
2021-09-10,-0.0210910305587549,45552600.0
2021-09-13,-0.0454470190244161,68857500.0
2021-09-14,-0.0285662773440216,55574700.0
2021-09-15,-0.0063256265476662,46073100.0
2021-09-16,0.0090767732109414,41770200.0
2021-09-17,-0.035981929702405,84612600.0
2021-09-20,-0.0784245616119158,74273100.0
2021-09-21,-0.0433765456309182,48992100.0
2021-09-22,-0.0198492577012375,45378900.0
2021-09-23,-0.0220453337682649,35842500.0
2021-09-24,-0.0066457677441053,64119000.0
2021-09-27,0.0180956175170731,84212100.0
2021-09-28,0.0065189011407313,76144200.0
2021-09-29,-0.0451478647192318,62828700.0
2021-09-30,-0.0368387842345542,53868000.0
2021-10-01,-0.0414380171900273,51094200.0
2021-10-04,-0.0135917696413697,91449900.0
2021-10-05,-0.0399009734758042,55297800.0
2021-10-06,-0.0174310825631378,43898400.0
2021-10-07,-0.0273440489022862,57587400.0
2021-10-08,-0.0274244037277787,50215800.0
2021-10-11,-0.0145687720470242,42600900.0
2021-10-12,0.0048414870289887,66060000.0
2021-10-13,-0.0101385837243425,42360300.0
2021-10-14,-0.0055475509215662,36741600.0
2021-10-15,-0.0244135375481609,56773800.0
2021-10-18,0.0218366231288785,72621600.0
2021-10-19,0.0281132257553586,52143300.0
2021-10-20,-0.013397044068681,42096300.0
