Date,Illiquidity,VADER_Sentiment,TextBlob_Sentiment,FinBERT_Sentiment
2021-11-05,9.79892540480296e-11,0.13690956896551723,0.06557265692865245,-0.0338764212387292
2021-11-08,4.823809890246278e-10,0.10453592274678111,0.04712163035845639,-0.0548673961413504
2021-11-09,6.76205677184521e-10,0.08862238001958864,0.04169310562100952,-0.0739109975032245
2021-11-10,3.382142709815407e-10,0.11081627099015635,0.06070180127257833,-0.0520017039002208
2021-11-11,6.187738056373748e-11,0.11477378716744914,0.048519419387917664,-0.0373353084384613
2021-11-12,3.6878728059291614e-10,0.12662816281628164,0.05293575598673819,-0.0366201281698155
2021-11-15,1.8578394525057358e-10,0.10791224354731965,0.06130388800170963,-0.0651402157746146
2021-11-16,5.123094674436402e-10,0.12844317140238312,0.0692117571644524,-0.061086523676962
2021-11-17,3.445253071956077e-10,0.1389871704745167,0.068095220920784,-0.0229879344657213
2021-11-18,1.0794204906638727e-10,0.14436004162330904,0.06310306371298374,-0.0309830425931266
2021-11-19,5.714721942554522e-10,0.11730180505415162,0.06767315590440677,-0.0062750367577737
2021-11-22,1.7559525366453619e-10,0.16008726042841037,0.09134576131768624,-0.0138517657553161
2021-11-23,3.810799854332911e-10,0.1432840140023337,0.04984178144421573,-0.0660114732235147
2021-11-24,9.285929031954276e-11,0.1658816176470588,0.06559885838276966,-0.0397714084288214
2021-11-26,8.714395589118989e-10,0.1275175487465181,0.04470497535137167,-0.0652181586940723
2021-11-29,8.716762636291285e-10,0.1699302925989673,0.07970663761740722,-0.0022853348538817
2021-11-30,8.408168959808182e-11,0.11704843982169391,0.041665423418398954,-0.0321631163689425
2021-12-01,6.350238210726114e-10,0.12261740674955596,0.058403848661215195,-0.042431979327666
2021-12-02,1.2990173249362195e-10,0.14108554913294796,0.064818599467963,-0.0320066016092034
2021-12-03,6.953787913101129e-10,0.10628093922651934,0.054212630535067065,-0.083617171307367
2021-12-06,7.190632619133612e-11,0.11446448497854077,0.051285047908457844,-0.0632469801096317
2021-12-07,7.552571630386904e-10,0.1196922600619195,0.05391332677468744,-0.0223524038270461
2021-12-08,3.904700853384963e-10,0.13080417209908737,0.06552935987164778,-0.0205593621807544
2021-12-09,1.0255398163317395e-09,0.10114339407744874,0.04639345009340503,-0.0703680403403309
2021-12-10,2.2090139366944107e-10,0.08134946466809422,0.043883010465065216,-0.082335642033418
2021-12-13,6.332732816475446e-10,0.12853850340136055,0.07630979595121207,-0.0786869851580889
2021-12-14,1.1544987095323871e-10,0.11249455205811139,0.05157538036701247,-0.0942386393581875
2021-12-15,2.426075857340068e-10,0.12462860962566845,0.05174546630922065,-0.0695815416635636
2021-12-16,6.074208246831179e-10,0.09879506037321625,0.04910184899745691,-0.0926610146087934
2021-12-17,6.068910102304191e-11,0.09147373004354135,0.060090211110192276,-0.0616475528170974
2021-12-20,6.194973312257188e-10,0.10663699515347336,0.05813969671384605,-0.0681940186001444
2021-12-21,5.995780500517464e-10,0.07811487603305786,0.055574613987704635,-0.056047488993788
2021-12-22,8.004239395131934e-10,0.12360995260663507,0.03835949672551888,0.0100741068272017
2021-12-23,6.214742135457475e-10,0.1098739288969918,0.047738167292362715,-0.0115573737577602
2021-12-27,3.548818905807204e-10,0.1117152610441767,0.04809709283961706,-0.0192036361865564
2021-12-28,8.289031468061749e-11,0.12017755102040817,0.047564551736842084,-0.0305023443709615
2021-12-29,3.730295751298251e-11,0.10300301760268231,0.047193782289387726,-0.0428712284910646
2021-12-30,3.1020385204462784e-10,0.10041746183206107,0.03815190176301096,-0.0598518058265743
2021-12-31,3.1101620584086376e-10,0.09940322580645161,0.050598655532614216,-0.0177650082398265
2022-01-03,1.3019807699094843e-09,0.11059422066549913,0.057209824806239026,-0.0038614670781503
2022-01-04,4.172908352174352e-10,0.1382356446991404,0.05625827417754992,-0.0150569680589851
2022-01-05,6.67390753307377e-10,0.14063499570077387,0.05787714798514428,-0.0479871138565158
2022-01-06,2.382575150144473e-10,0.09551029723991507,0.04708663960438359,-0.0283566115408218
2022-01-07,4.2115717696037426e-10,0.10764027777777778,0.05034245328202247,-0.0447577282913563
2022-01-10,3.3046837024235536e-10,0.11119301675977654,0.04618326560245884,-0.0256128769330645
2022-01-11,8.983845278087309e-11,0.1394625937834941,0.05171602188092583,-0.015284212282684
2022-01-12,4.691929558729121e-10,0.09094505844845908,0.0534860513171106,-0.0096851560424747
2022-01-13,6.94281892218361e-10,0.09783705583756346,0.05174659258288208,-0.0702363503099357
2022-01-14,2.3994414173408705e-10,0.08892113459399333,0.04365641749037773,-0.0428973797494306
2022-01-18,2.7264480431819426e-10,0.11033582474226804,0.040802739118880035,-0.0686632288072603
2022-01-19,4.483931062540584e-10,0.10665650406504065,0.04552822338281715,-0.0606350827663076
2022-01-20,8.834107683778261e-12,0.14970922882427307,0.06782269280741927,-0.065707530041005
2022-01-21,5.082972376138321e-10,0.10938045540796965,0.05509203037643561,-0.0686134524078795
2022-01-24,9.71600426230716e-11,0.08373662581110311,0.049660241258697,-0.0774540060086318
2022-01-25,1.4403828405836728e-10,0.10813834115805948,0.04315468374622097,-0.0796072308880645
2022-01-26,1.9738310077975918e-10,0.07325613955595832,0.039537823347741086,-0.0512245416670351
2022-01-27,7.854132847960498e-10,0.07913519441674975,0.05330693635053645,-0.0904536133579601
2022-01-28,1.543573832518377e-10,0.0949268588770865,0.05557645056056568,-0.0756666891107953
2022-01-31,1.0224071569124586e-09,0.09339019396551725,0.05464206153286641,-0.0288596629187191
2022-02-01,7.984236195855936e-11,0.10593821656050956,0.03498959913632366,-0.0310228506020109
2022-02-02,4.1140887128593814e-10,0.13296166180758018,0.051129258074589005,-0.0772264534315642
2022-02-03,2.0331460320990408e-10,0.11476907103825136,0.04997701270380544,-0.0497724670906617
2022-02-04,4.904708114891502e-10,0.12987568555758683,0.06150267574879977,-0.0357192941878324
2022-02-07,2.837499515749379e-10,0.164619427402863,0.06803575472763519,-0.0203147350252436
2022-02-08,3.1849945146696466e-10,0.13193782505910165,0.06261607974899323,-0.0370084386050313
2022-02-09,2.0754008708810336e-10,0.1492310185185185,0.0791309930439808,-0.0484205737884621
2022-02-10,4.4539772796650437e-10,0.08358085642317381,0.043036499861361925,-0.0456029049001201
2022-02-11,6.183757297467558e-10,0.06891508515815084,0.035840192963788146,-0.0577961805167805
2022-02-14,2.70463562494152e-10,0.11336244131455399,0.06730616051531126,-0.0437532700576377
2022-02-15,9.302548307056231e-10,0.15509767441860464,0.06199421459190299,-0.0195974891172669
2022-02-16,2.028984196957548e-11,0.16639595015576325,0.06710859210030096,-0.0177284723011388
2022-02-17,9.232362483627819e-10,0.08930773694390716,0.07078559941973163,-0.0865563927425478
2022-02-18,3.2266404040659945e-10,0.12740039761431413,0.06548049538151375,-0.0853344743384444
2022-02-22,4.96664496302936e-10,0.05034355108877722,0.04367973313117935,-0.098862023372047
2022-02-23,7.346362940140764e-10,0.08197502656748142,0.04250896958941055,-0.0918348323584481
2022-02-24,3.5525179905904446e-10,0.11752621259029929,0.04496956399322581,-0.0665449021245718
2022-02-25,1.4939364966772422e-10,0.08745982142857144,0.032554479303816636,-0.0544754799297411
2022-02-28,7.552753245843181e-10,0.1471387622149837,0.047380767937281625,0.0165494518196786
