Date,VADER_Sentiment,TextBlob_Sentiment,FinBERT_Sentiment
2021-07-05,0.27031657458563535,0.10686617841616376,0.0069620737764798
2021-07-06,0.11176234042553192,0.054508107279086254,-0.0495364574239925
2021-07-07,0.16807281553398057,0.06188417118758731,-0.0478196611720616
2021-07-08,0.12010836820083681,0.06882325705526209,-0.0580745860622517
2021-07-09,0.1449254691689008,0.0713473386193344,-0.0064715415166925
2021-07-10,0.14824291187739463,0.07062295155713368,-0.0742357817168036
2021-07-11,0.26196145251396646,0.09891878951549075,-0.0237409548063933
2021-07-12,0.1088152,0.06714833467535551,-0.0074932739576324
2021-07-13,0.1159723865877712,0.07120249575715247,-0.0432878707772528
2021-07-14,0.09434976525821595,0.036084905280949604,-0.0317532241829788
2021-07-15,0.13055417607223477,0.06396281935763824,-0.0484033516097317
2021-07-16,0.18875140186915887,0.05151374417852573,-0.0248028852692529
2021-07-17,0.24965752688172044,0.08777890451947556,0.0087738706610134
2021-07-18,0.2654165094339623,0.10561317335659975,-0.0453699312770282
2021-07-19,0.17298000000000002,0.0600274758688024,-0.01487582933835
2021-07-20,0.17516107055961072,0.049857769543661966,0.0144458939627247
2021-07-21,0.11726153846153846,0.0552088634826888,-0.0455984439336319
2021-07-22,0.1308167883211679,0.054904374945306596,-0.0298776204727245
2021-07-23,0.12507557411273487,0.0564276391396663,-0.0216195381339833
2021-07-24,0.2318328431372549,0.05322240202168158,-0.0566745259566231
2021-07-25,0.229895015576324,0.07795474438913493,-0.0173077216992775
2021-07-26,0.1381004858299595,0.06346857425412648,-0.0256156498023312
2021-07-27,0.15385410256410256,0.07782695395073486,-0.0578057709848507
2021-07-28,0.20414535211267604,0.0855582928605012,-0.0466791647866787
2021-07-29,0.1495670568561873,0.06118470387115001,-0.0084549461407306
2021-07-30,0.15573361629881152,0.07917157688290156,0.0166284519125957
2021-07-31,0.20653248730964469,0.10248825632326523,0.0092204969830167
2021-08-01,0.20546037735849057,0.0944462617568338,0.0083160056299149
2021-08-02,0.12695151515151515,0.06019066741078531,0.0160295029424807
2021-08-03,0.18262935779816514,0.07796452279386995,0.0012442086868142
2021-08-04,0.15689010695187164,0.06017719291963507,-0.0220932769937749
2021-08-05,0.1580548556430446,0.06179701007957241,-0.0113181704716399
2021-08-06,0.13094444444444445,0.05646853496883955,-0.0316982576119772
2021-08-07,0.190645390070922,0.08283391054855059,-0.0180765574084633
2021-08-08,0.21810303030303033,0.07363383685748978,0.0055818363233948
2021-08-09,0.16885540540540542,0.07549959613475703,0.047112892051479
2021-08-10,0.10799051987767584,0.05063926658362457,-0.0379399990417996
2021-08-11,0.1452295681063123,0.05509549852403936,-0.0259862250874307
2021-08-12,0.1250546875,0.08240134338703245,0.0250048919745797
2021-08-13,0.1853579861111111,0.0682058094550034,-0.0154309139599919
2021-08-14,0.23122580645161292,0.12247762265237129,-0.017050237527057
2021-08-15,0.28503373493975903,0.099230654821427,-0.0262677364545054
2021-08-16,0.07004139784946237,0.03535714867545038,-0.0961774787790472
2021-08-17,0.11838200972447327,0.051176309354367025,-0.0987871277547551
2021-08-18,0.14031724137931034,0.06454113861140595,-0.03952387809732
2021-08-19,0.10888805620608899,0.025495060122924792,-0.058801687822025
2021-08-20,0.13677707979626486,0.06320966944345015,-0.036325477721432
2021-08-21,0.1920938888888889,0.07846874123654356,-0.0397194032997099
2021-08-22,0.17539936305732484,0.08492215893961799,-0.0403416485994294
2021-08-23,0.13647924528301886,0.06103296244773591,0.0154125626422363
2021-08-24,0.19245738636363638,0.09441691909669116,-0.0365594676669305
2021-08-25,0.1582558052434457,0.0628133148677446,-0.041467122667319
2021-08-26,0.2161049689440994,0.07315581626384235,-0.0156434314811359
2021-08-27,0.18994426751592355,0.0980149246128735,-0.0178276944169951
2021-08-28,0.28851290322580647,0.09603011520787058,-0.0285426749427231
2021-08-29,0.22326720430107527,0.08434467934030807,-0.047593571781431
2021-08-30,0.1443386727688787,0.08315712923053967,-0.0052356176351109
2021-08-31,0.15736115879828325,0.06905684943604548,-0.0196117459268752
2021-09-01,0.13163430851063831,0.08214332105996892,-0.0341623396095026
2021-09-02,0.47756223684210525,0.260764297080403,-0.004368114446927
2021-09-03,0.17467509881422924,0.07879016639348821,-0.0161632396420647
2021-09-04,0.17784391534391533,0.08178777653262725,-0.0392325513468926
2021-09-05,0.25567303370786515,0.05809257430817256,0.0012785618277162
2021-09-06,0.29431375,0.07873908959949882,0.0255804140567003
2021-09-07,0.1545312661498708,0.06975681037138216,0.0052599436615518
2021-09-08,0.15772333333333333,0.05305587084249085,0.0109816302079706
2021-09-09,0.15798512658227848,0.05483629591981676,-0.019996780826993
2021-09-10,0.16352399103139015,0.07647355066221179,-0.0210910305587549
2021-09-11,0.21894112903225807,0.06524377848205373,-0.0755353886145918
2021-09-12,0.2033887417218543,0.10399691705264671,-0.0007121361150646
2021-09-13,0.1616516129032258,0.05880431806323657,-0.0454470190244161
2021-09-14,0.17352415584415584,0.06996243598315723,-0.0285662773440216
2021-09-15,0.16331033434650458,0.060872819532900586,-0.0063256265476662
2021-09-16,0.17301992753623188,0.06150145833845135,0.0090767732109414
2021-09-17,0.1844024523160763,0.08228838547584234,-0.035981929702405
2021-09-18,0.22145707547169813,0.09955533724171638,-0.0216913015146757
2021-09-19,0.17992202380952382,0.0851009207439019,-0.0544743523822121
2021-09-20,0.11268026315789474,0.06201587708593504,-0.0784245616119158
2021-09-21,0.16450175438596493,0.07007086911087206,-0.0433765456309182
2021-09-22,0.22238646616541355,0.08159601343454055,-0.0198492577012375
2021-09-23,0.18275961538461538,0.07622371471411689,-0.0220453337682649
2021-09-24,0.13675704809286898,0.0776961925818423,-0.0066457677441053
2021-09-25,0.20920491228070176,0.08186991136338985,-0.018683657499455
2021-09-26,0.21320592592592594,0.062257730539321245,-0.0289978466876264
2021-09-27,0.14251754176610978,0.07079732946377451,0.0180956175170731
2021-09-28,0.15832831125827815,0.08446797167478488,0.0065189011407313
2021-09-29,0.2079064,0.07198698637142613,-0.0451478647192318
2021-09-30,0.19295958005249345,0.08494269057575207,-0.0368387842345542
2021-10-01,0.16882197183098593,0.06988115084280257,-0.0414380171900273
2021-10-02,0.1685940251572327,0.08326697348152967,-0.0253289299270242
2021-10-03,0.1550955497382199,0.07563931515027525,-0.0394760438202055
2021-10-04,0.1401,0.05724643376534668,-0.0135917696413697
2021-10-05,0.1341745238095238,0.06955668642873014,-0.0399009734758042
2021-10-06,0.17641382978723402,0.08303340535340217,-0.0174310825631378
2021-10-07,0.15957018425460637,0.06446067486733054,-0.0273440489022862
2021-10-08,0.15749438444924405,0.07250550217114357,-0.0274244037277787
2021-10-09,0.22717734806629836,0.09053678462385052,-0.0097536181886963
2021-10-10,0.1692353711790393,0.07430778479703082,-0.0302154317449404
2021-10-11,0.17424040404040406,0.047746979484616266,-0.0145687720470242
2021-10-12,0.10640975056689343,0.04090060473725844,0.0048414870289887
2021-10-13,0.14754642857142858,0.054943375396911395,-0.0101385837243425
2021-10-14,0.16934111922141118,0.05865097492093271,-0.0055475509215662
2021-10-15,0.11059633986928105,0.04848360119915405,-0.0244135375481609
2021-10-16,0.1783454802259887,0.07875231080168699,-0.034524520636815
2021-10-17,0.19755780821917807,0.06761072813229328,0.0104424988110995
2021-10-18,0.138670087124879,0.06670847172173221,0.0218366231288785
2021-10-19,0.12297577807848445,0.05383846952740018,0.0281132257553586
2021-10-20,0.08723923705722071,0.04886944234278882,-0.013397044068681
2021-10-21,0.10184851973684211,0.05349309638250496,-0.0224753171259132
2021-10-22,0.14474640753828033,0.07346266547744972,0.0159570251435733
2021-10-23,0.18478523076923076,0.06967749027883477,-0.0279323235770257
2021-10-24,0.21691707317073172,0.08431651158317098,-0.0102299158574967
2021-10-25,0.12281553333333332,0.055580801765085966,0.0243389190169982
2021-10-26,0.1317675887850467,0.0595291136955167,-0.0085620059342793
2021-10-27,0.16298493696084937,0.06401028619695528,-0.0206896019518602
2021-10-28,0.15146134880348078,0.06198803854599024,-0.0210304304287431
2021-10-29,0.10578703947368422,0.05860349143848479,-0.0026991349571432
2021-10-30,0.1867650739476678,0.07425311087120139,-0.0211426537755168
2021-10-31,0.17984456035767513,0.06607946400507152,-0.0150710943150826
2021-11-01,0.11516926553672317,0.05344819686399557,-0.0071295398534775
2021-11-02,0.10400563090834361,0.05220729834941355,-0.0337002856541689
2021-11-03,0.13704418928322895,0.05031598275791265,-0.0228877124618337
2021-11-04,0.12569447353112276,0.05908369301820723,-0.0027708448903063
2021-11-05,0.13690956896551723,0.06557265692865245,-0.0338764212387292
2021-11-06,0.1450008341056534,0.06277719815715858,-0.0398161290584613
2021-11-07,0.1265756989247312,0.06628957293435735,-0.0944115065518886
2021-11-08,0.10453592274678111,0.04712163035845639,-0.0548673961413504
2021-11-09,0.08862238001958864,0.04169310562100952,-0.0739109975032245
2021-11-10,0.11081627099015635,0.06070180127257833,-0.0520017039002208
2021-11-11,0.11477378716744914,0.048519419387917664,-0.0373353084384613
2021-11-12,0.12662816281628164,0.05293575598673819,-0.0366201281698155
2021-11-13,0.2112558232931727,0.09775847677673731,-0.0164651090174494
2021-11-14,0.19152431444241316,0.0725995105471297,-0.0656783794362771
2021-11-15,0.10791224354731965,0.06130388800170963,-0.0651402157746146
2021-11-16,0.12844317140238312,0.0692117571644524,-0.061086523676962
2021-11-17,0.1389871704745167,0.068095220920784,-0.0229879344657213
2021-11-18,0.14436004162330904,0.06310306371298374,-0.0309830425931266
2021-11-19,0.11730180505415162,0.06767315590440677,-0.0062750367577737
2021-11-20,0.22654351145038168,0.06580964776627479,-0.0296088813806459
2021-11-21,0.17441266490765173,0.07406828581992847,-0.0470595410300079
2021-11-22,0.16008726042841037,0.09134576131768624,-0.0138517657553161
2021-11-23,0.1432840140023337,0.04984178144421573,-0.0660114732235147
2021-11-24,0.1658816176470588,0.06559885838276966,-0.0397714084288214
2021-11-25,0.22859014084507043,0.07888373129508655,-0.0416503157361712
